# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0   13.202    0.831    0.01   2   1     1.00     0.06    0.020    83.11
  1   12.994    2.479    0.03   2   1     0.98     0.19    0.020    83.11
  2   12.581    4.088    0.05   2   1     0.95     0.31    0.020    83.11
  3   11.969    5.632    0.07   2   1     0.90     0.43    0.020    83.11
  4   11.169    7.088    0.09   2   1     0.84     0.54    0.020    83.11
  5   10.192    8.432    0.11   2   1     0.77     0.64    0.020    83.11
  6    9.055    9.643    0.13   2   1     0.68     0.73    0.020    83.11
  7    7.775   10.702    0.15   2   1     0.59     0.81    0.020    83.11
  8    6.373   11.592    0.17   2   1     0.48     0.88    0.020    83.11
  9    4.870   12.299    0.19   2   1     0.37     0.93    0.020    83.11
 10    3.290   12.812    0.21   2   1     0.25     0.97    0.020    83.11
 11    1.658   13.124    0.23   2   1     0.13     0.99    0.020    83.11
 12    0.000   13.228    0.25   2   1     0.00     1.00    0.020    83.11
 13   -1.658   13.124    0.27   2   1    -0.13     0.99    0.020    83.11
 14   -3.290   12.812    0.29   2   1    -0.25     0.97    0.020    83.11
 15   -4.870   12.299    0.31   2   1    -0.37     0.93    0.020    83.11
 16   -6.373   11.592    0.33   2   1    -0.48     0.88    0.020    83.11
 17   -7.775   10.702    0.35   2   1    -0.59     0.81    0.020    83.11
 18   -9.055    9.643    0.37   2   1    -0.68     0.73    0.020    83.11
 19  -10.192    8.432    0.39   2   1    -0.77     0.64    0.020    83.11
 20  -11.169    7.088    0.41   2   1    -0.84     0.54    0.020    83.11
 21  -11.969    5.632    0.43   2   1    -0.90     0.43    0.020    83.11
 22  -12.581    4.088    0.45   2   1    -0.95     0.31    0.020    83.11
 23  -12.994    2.479    0.47   2   1    -0.98     0.19    0.020    83.11
 24  -13.202    0.831    0.49   2   1    -1.00     0.06    0.020    83.11
 25  -13.202   -0.831    0.51   2   1    -1.00    -0.06    0.020    83.11
 26  -12.994   -2.479    0.53   2   1    -0.98    -0.19    0.020    83.11
 27  -12.581   -4.088    0.55   2   1    -0.95    -0.31    0.020    83.11
 28  -11.969   -5.632    0.57   2   1    -0.90    -0.43    0.020    83.11
 29  -11.169   -7.088    0.59   2   1    -0.84    -0.54    0.020    83.11
 30  -10.192   -8.432    0.61   2   1    -0.77    -0.64    0.020    83.11
 31   -9.055   -9.643    0.63   2   1    -0.68    -0.73    0.020    83.11
 32   -7.775  -10.702    0.65   2   1    -0.59    -0.81    0.020    83.11
 33   -6.373  -11.592    0.67   2   1    -0.48    -0.88    0.020    83.11
 34   -4.870  -12.299    0.69   2   1    -0.37    -0.93    0.020    83.11
 35   -3.290  -12.812    0.71   2   1    -0.25    -0.97    0.020    83.11
 36   -1.658  -13.124    0.73   2   1    -0.13    -0.99    0.020    83.11
 37   -0.000  -13.228    0.75   2   1    -0.00    -1.00    0.020    83.11
 38    1.658  -13.124    0.77   2   1     0.13    -0.99    0.020    83.11
 39    3.290  -12.812    0.79   2   1     0.25    -0.97    0.020    83.11
 40    4.870  -12.299    0.81   2   1     0.37    -0.93    0.020    83.11
 41    6.373  -11.592    0.83   2   1     0.48    -0.88    0.020    83.11
 42    7.775  -10.702    0.85   2   1     0.59    -0.81    0.020    83.11
 43    9.055   -9.643    0.87   2   1     0.68    -0.73    0.020    83.11
 44   10.192   -8.432    0.89   2   1     0.77    -0.64    0.020    83.11
