# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
  0   13.228    0.083    0.00   2   1     1.00     0.01    0.002    83.11
  1   13.226    0.249    0.00   2   1     1.00     0.02    0.002    83.11
  2   13.222    0.416    0.01   2   1     1.00     0.03    0.002    83.11
  3   13.215    0.582    0.01   2   1     1.00     0.04    0.002    83.11
  4   13.207    0.748    0.01   2   1     1.00     0.06    0.002    83.11
  5   13.197    0.914    0.01   2   1     1.00     0.07    0.002    83.11
  6   13.184    1.079    0.01   2   1     1.00     0.08    0.002    83.11
  7   13.169    1.245    0.01   2   1     1.00     0.09    0.002    83.11
  8   13.153    1.410    0.02   2   1     0.99     0.11    0.002    83.11
  9   13.134    1.575    0.02   2   1     0.99     0.12    0.002    83.11
 10   13.113    1.740    0.02   2   1     0.99     0.13    0.002    83.11
 11   13.090    1.905    0.02   2   1     0.99     0.14    0.002    83.11
 12   13.065    2.069    0.03   2   1     0.99     0.16    0.002    83.11
 13   13.038    2.233    0.03   2   1     0.99     0.17    0.002    83.11
 14   13.009    2.397    0.03   2   1     0.98     0.18    0.002    83.11
 15   12.978    2.560    0.03   2   1     0.98     0.19    0.002    83.11
 16   12.945    2.723    0.03   2   1     0.98     0.21    0.002    83.11
 17   12.910    2.886    0.04   2   1     0.98     0.22    0.002    83.11
 18   12.872    3.048    0.04   2   1     0.97     0.23    0.002    83.11
 19   12.833    3.209    0.04   2   1     0.97     0.24    0.002    83.11
 20   12.792    3.370    0.04   2   1     0.97     0.25    0.002    83.11
 21   12.748    3.531    0.04   2   1     0.96     0.27    0.002    83.11
 22   12.703    3.691    0.04   2   1     0.96     0.28    0.002    83.11
 23   12.655    3.850    0.05   2   1     0.96     0.29    0.002    83.11
 24   12.606    4.009    0.05   2   1     0.95     0.30    0.002    83.11
 25   12.555    4.167    0.05   2   1     0.95     0.31    0.002    83.11
 26   12.501    4.324    0.05   2   1     0.95     0.33    0.002    83.11
 27   12.446    4.481    0.06   2   1     0.94     0.34    0.002    83.11
 28   12.389    4.637    0.06   2   1     0.94     0.35    0.002    83.11
 29   12.330    4.792    0.06   2   1     0.93     0.36    0.002    83.11
 30   12.268    4.947    0.06   2   1     0.93     0.37    0.002    83.11
 31   12.205    5.101    0.06   2   1     0.92     0.39    0.002    83.11
 32   12.140    5.254    0.07   2   1     0.92     0.40    0.002    83.11
 33   12.073    5.406    0.07   2   1     0.91     0.41    0.002    83.11
 34   12.004    5.557    0.07   2   1     0.91     0.42    0.002    83.11
 35   11.934    5.707    0.07   2   1     0.90     0.43    0.002    83.11
 36   11.861    5.857    0.07   2   1     0.90     0.44    0.002    83.11
 37   11.786    6.005    0.07   2   1     0.89     0.45    0.002    83.11
 38   11.710    6.153    0.08   2   1     0.89     0.47    0.002    83.11
 39   11.632    6.300    0.08   2   1     0.88     0.48    0.002    83.11
 40   11.552    6.445    0.08   2   1     0.87     0.49    0.002    83.11
 41   11.470    6.590    0.08   2   1     0.87     0.50    0.002    83.11
 42   11.386    6.734    0.09   2   1     0.86     0.51    0.002    83.11
 43   11.300    6.876    0.09   2   1     0.85     0.52    0.002    83.11
 44   11.213    7.018    0.09   2   1     0.85     0.53    0.002    83.11
 45   11.124    7.158    0.09   2   1     0.84     0.54    0.002    83.11
 46   11.033    7.297    0.09   2   1     0.83     0.55    0.002    83.11
 47   10.941    7.435    0.10   2   1     0.83     0.56    0.002    83.11
 48   10.846    7.572    0.10   2   1     0.82     0.57    0.002    83.11
 49   10.750    7.708    0.10   2   1     0.81     0.58    0.002    83.11
 50   10.653    7.842    0.10   2   1     0.81     0.59    0.002    83.11
 51   10.553    7.976    0.10   2   1     0.80     0.60    0.002    83.11
 52   10.452    8.108    0.10   2   1     0.79     0.61    0.002    83.11
 53   10.350    8.238    0.11   2   1     0.78     0.62    0.002    83.11
 54   10.245    8.368    0.11   2   1     0.77     0.63    0.002    83.11
 55   10.139    8.496    0.11   2   1     0.77     0.64    0.002    83.11
 56   10.032    8.623    0.11   2   1     0.76     0.65    0.002    83.11
 57    9.923    8.748    0.12   2   1     0.75     0.66    0.002    83.11
 58    9.812    8.872    0.12   2   1     0.74     0.67    0.002    83.11
 59    9.700    8.994    0.12   2   1     0.73     0.68    0.002    83.11
 60    9.586    9.116    0.12   2   1     0.72     0.69    0.002    83.11
 61    9.470    9.235    0.12   2   1     0.72     0.70    0.002    83.11
 62    9.354    9.354    0.12   2   1     0.71     0.71    0.002    83.11
 63    9.235    9.470    0.13   2   1     0.70     0.72    0.002    83.11
 64    9.116    9.586    0.13   2   1     0.69     0.72    0.002    83.11
 65    8.994    9.700    0.13   2   1     0.68     0.73    0.002    83.11
 66    8.872    9.812    0.13   2   1     0.67     0.74    0.002    83.11
 67    8.748    9.923    0.14   2   1     0.66     0.75    0.002    83.11
 68    8.623   10.032    0.14   2   1     0.65     0.76    0.002    83.11
 69    8.496   10.139    0.14   2   1     0.64     0.77    0.002    83.11
 70    8.368   10.245    0.14   2   1     0.63     0.77    0.002    83.11
 71    8.238   10.350    0.14   2   1     0.62     0.78    0.002    83.11
 72    8.108   10.452    0.14   2   1     0.61     0.79    0.002    83.11
 73    7.976   10.553    0.15   2   1     0.60     0.80    0.002    83.11
 74    7.842   10.653    0.15   2   1     0.59     0.81    0.002    83.11
 75    7.708   10.750    0.15   2   1     0.58     0.81    0.002    83.11
 76    7.572   10.846    0.15   2   1     0.57     0.82    0.002    83.11
 77    7.435   10.941    0.15   2   1     0.56     0.83    0.002    83.11
 78    7.297   11.033    0.16   2   1     0.55     0.83    0.002    83.11
 79    7.158   11.124    0.16   2   1     0.54     0.84    0.002    83.11
 80    7.018   11.213    0.16   2   1     0.53     0.85    0.002    83.11
 81    6.876   11.300    0.16   2   1     0.52     0.85    0.002    83.11
 82    6.734   11.386    0.17   2   1     0.51     0.86    0.002    83.11
 83    6.590   11.470    0.17   2   1     0.50     0.87    0.002    83.11
 84    6.445   11.552    0.17   2   1     0.49     0.87    0.002    83.11
 85    6.300   11.632    0.17   2   1     0.48     0.88    0.002    83.11
 86    6.153   11.710    0.17   2   1     0.47     0.89    0.002    83.11
 87    6.005   11.786    0.17   2   1     0.45     0.89    0.002    83.11
 88    5.857   11.861    0.18   2   1     0.44     0.90    0.002    83.11
 89    5.707   11.934    0.18   2   1     0.43     0.90    0.002    83.11
 90    5.557   12.004    0.18   2   1     0.42     0.91    0.002    83.11
 91    5.406   12.073    0.18   2   1     0.41     0.91    0.002    83.11
 92    5.254   12.140    0.18   2   1     0.40     0.92    0.002    83.11
 93    5.101   12.205    0.19   2   1     0.39     0.92    0.002    83.11
 94    4.947   12.268    0.19   2   1     0.37     0.93    0.002    83.11
 95    4.792   12.330    0.19   2   1     0.36     0.93    0.002    83.11
 96    4.637   12.389    0.19   2   1     0.35     0.94    0.002    83.11
 97    4.481   12.446    0.20   2   1     0.34     0.94    0.002    83.11
 98    4.324   12.501    0.20   2   1     0.33     0.95    0.002    83.11
 99    4.167   12.555    0.20   2   1     0.31     0.95    0.002    83.11
100    4.009   12.606    0.20   2   1     0.30     0.95    0.002    83.11
101    3.850   12.655    0.20   2   1     0.29     0.96    0.002    83.11
102    3.691   12.703    0.20   2   1     0.28     0.96    0.002    83.11
103    3.531   12.748    0.21   2   1     0.27     0.96    0.002    83.11
104    3.370   12.792    0.21   2   1     0.25     0.97    0.002    83.11
105    3.209   12.833    0.21   2   1     0.24     0.97    0.002    83.11
106    3.048   12.872    0.21   2   1     0.23     0.97    0.002    83.11
107    2.886   12.910    0.21   2   1     0.22     0.98    0.002    83.11
108    2.723   12.945    0.22   2   1     0.21     0.98    0.002    83.11
109    2.560   12.978    0.22   2   1     0.19     0.98    0.002    83.11
110    2.397   13.009    0.22   2   1     0.18     0.98    0.002    83.11
111    2.233   13.038    0.22   2   1     0.17     0.99    0.002    83.11
112    2.069   13.065    0.23   2   1     0.16     0.99    0.002    83.11
113    1.905   13.090    0.23   2   1     0.14     0.99    0.002    83.11
